temporada,time,colocacao,media_pontos_partida,desvio_padrao
2003,Athletico-PR,12,1.33,1.35
2003,Atletico-MG,5,1.57,1.28
2003,Bahia,24,1.0,1.26
2003,Corinthians,15,1.24,1.3
2003,Coritiba,4,1.59,1.36
2003,Criciuma,14,1.3,1.36
2003,Cruzeiro,1,2.17,1.23
2003,Figueirense,9,1.41,1.29
2003,Flamengo,8,1.43,1.33
2003,Fluminense,20,1.09,1.28
2003,Fortaleza,23,1.07,1.24
2003,Goias,9,1.41,1.34
2003,Gremio,20,1.09,1.28
2003,Guarani,12,1.33,1.35
2003,Internacional,7,1.52,1.36
2003,Juventude,20,1.09,1.23
2003,Parana,9,1.41,1.34
2003,Paysandu,15,1.24,1.3
2003,Ponte Preta,19,1.11,1.16
2003,Santos,2,1.89,1.27
2003,Sao Caetano,6,1.54,1.29
2003,Sao Paulo,3,1.7,1.31
2003,Vasco,18,1.17,1.23
2003,Vitoria,17,1.22,1.32
2004,Athletico-PR,2,1.87,1.29
2004,Atletico-MG,19,1.15,1.19
2004,Botafogo-RJ,20,1.11,1.16
2004,Corinthians,6,1.61,1.29
2004,Coritiba,13,1.35,1.23
2004,Criciuma,21,1.09,1.28
2004,Cruzeiro,14,1.22,1.36
2004,Figueirense,12,1.37,1.32
2004,Flamengo,16,1.17,1.23
2004,Fluminense,9,1.46,1.31
2004,Goias,7,1.57,1.38
2004,Gremio,24,0.85,1.15
2004,Guarani,22,1.07,1.18
2004,Internacional,9,1.46,1.41
2004,Juventude,8,1.52,1.36
2004,Palmeiras,4,1.72,1.29
2004,Parana,16,1.17,1.34
2004,Paysandu,14,1.22,1.26
2004,Ponte Preta,11,1.39,1.41
2004,Santos,1,1.93,1.32
2004,Sao Caetano,5,1.67,1.38
2004,Sao Paulo,3,1.78,1.33
2004,Vasco,16,1.17,1.29
2004,Vitoria,23,1.04,1.3
2005,Athletico-PR,6,1.45,1.4
2005,Atletico-MG,20,1.12,1.33
2005,Botafogo-RJ,9,1.4,1.38
2005,Brasiliense,21,0.98,1.22
2005,Corinthians,1,1.93,1.3
2005,Coritiba,19,1.17,1.31
2005,Cruzeiro,8,1.43,1.36
2005,Figueirense,16,1.26,1.31
2005,Flamengo,13,1.31,1.28
2005,Fluminense,5,1.62,1.32
2005,Fortaleza,13,1.31,1.39
2005,Goias,3,1.76,1.36
2005,Internacional,2,1.86,1.32
2005,Juventude,13,1.31,1.33
2005,Palmeiras,4,1.67,1.34
2005,Parana,6,1.45,1.35
2005,Paysandu,21,0.98,1.33
2005,Ponte Preta,18,1.21,1.39
2005,Santos,9,1.4,1.33
2005,Sao Caetano,17,1.24,1.32
2005,Sao Paulo,11,1.38,1.34
2005,Vasco,12,1.33,1.32
2006,Athletico-PR,13,1.26,1.33
2006,Botafogo-RJ,12,1.34,1.28
2006,Corinthians,9,1.39,1.37
2006,Cruzeiro,9,1.39,1.31
2006,Figueirense,7,1.5,1.29
2006,Flamengo,11,1.37,1.38
2006,Fluminense,15,1.18,1.25
2006,Fortaleza,18,1.0,1.14
2006,Goias,8,1.45,1.33
2006,Gremio,3,1.76,1.36
2006,Internacional,2,1.82,1.31
2006,Juventude,14,1.24,1.34
2006,Palmeiras,16,1.16,1.33
2006,Parana,5,1.58,1.41
2006,Ponte Preta,17,1.03,1.26
2006,Santa Cruz,20,0.74,1.16
2006,Santos,4,1.68,1.32
2006,Sao Caetano,19,0.95,1.23
2006,Sao Paulo,1,2.05,1.16
2006,Vasco,6,1.55,1.25
2007,America-RN,20,0.45,0.95
2007,Athletico-PR,10,1.42,1.29
2007,Atletico-MG,8,1.45,1.33
2007,Botafogo-RJ,8,1.45,1.27
