temporada,estado,numero_de_times,times,media_pontos
2003,BA,2,"Bahia, Vitoria",51.0
2003,CE,1,Fortaleza,49.0
2003,GO,1,Goias,65.0
2003,MG,2,"Atletico-MG, Cruzeiro",86.0
2003,PA,1,Paysandu,57.0
2003,PR,3,"Athletico-PR, Coritiba, Parana",66.33
2003,RJ,3,"Flamengo, Fluminense, Vasco",56.67
2003,RS,3,"Gremio, Internacional, Juventude",56.67
2003,SC,2,"Criciuma, Figueirense",62.5
2003,SP,6,"Corinthians, Guarani, Ponte Preta, Santos, Sao Caetano, Sao Paulo",67.5
2004,BA,1,Vitoria,48.0
2004,GO,1,Goias,72.0
2004,MG,2,"Atletico-MG, Cruzeiro",54.5
2004,PA,1,Paysandu,56.0
2004,PR,3,"Athletico-PR, Coritiba, Parana",67.33
2004,RJ,4,"Botafogo-RJ, Flamengo, Fluminense, Vasco",56.5
2004,RS,3,"Gremio, Internacional, Juventude",58.67
2004,SC,2,"Criciuma, Figueirense",56.5
2004,SP,7,"Corinthians, Guarani, Palmeiras, Ponte Preta, Santos, Sao Caetano, Sao Paulo",73.43
2005,CE,1,Fortaleza,55.0
2005,DF,1,Brasiliense,41.0
2005,GO,1,Goias,74.0
2005,MG,2,"Atletico-MG, Cruzeiro",53.5
2005,PA,1,Paysandu,41.0
2005,PR,3,"Athletico-PR, Coritiba, Parana",57.0
2005,RJ,4,"Botafogo-RJ, Flamengo, Fluminense, Vasco",59.5
2005,RS,2,"Internacional, Juventude",66.5
2005,SC,1,Figueirense,53.0
2005,SP,6,"Corinthians, Palmeiras, Ponte Preta, Santos, Sao Caetano, Sao Paulo",61.83
2006,CE,1,Fortaleza,38.0
2006,GO,1,Goias,55.0
2006,MG,1,Cruzeiro,53.0
2006,PE,1,Santa Cruz,28.0
2006,PR,2,"Athletico-PR, Parana",54.0
2006,RJ,4,"Botafogo-RJ, Flamengo, Fluminense, Vasco",51.75
2006,RS,3,"Gremio, Internacional, Juventude",61.0
2006,SC,1,Figueirense,57.0
2006,SP,6,"Corinthians, Palmeiras, Ponte Preta, Santos, Sao Caetano, Sao Paulo",52.33
2007,GO,1,Goias,45.0
2007,MG,2,"Atletico-MG, Cruzeiro",57.5
2007,PE,2,"Nautico, Sport",50.0
2007,PR,2,"Athletico-PR, Parana",47.5
